a_alias	b_alias
ARF6	USO1
FOS	EP400
ACTA1	MINPP1
WNK2	UBE2I
CKMT1B	IKBKE
USPL1	PGD
JAK2	PTPRJ
POLDIP3	NCBP1
IKBKE	ECHS1
MDM2	DAAM2
MERTK	BMPR2
OTUB1	DDX23
NOD2	NLRP1
ANP32A	GZMA
PTPRK	PXN
ZNF395	HDAC1
CDC6	ATR
DARS2	AIMP2
HIST2H3D	KMT2C
MELK	BABAM1
BRF2	KDELR1
MYC	AP2A1
HSPA4	DNAJB11
RHOH	ARHGDIA
NFKBIA	UBE2D2
PLD1	RPS6KA3
FOS	NEFM
FNBP1	MAP1LC3C
MS4A1	CSNK2A2
MYC	CTNNB1
RBMX	SRRM1
HIST1H3J	GATAD2B
FER	CDH1
SIAH2	PIAS3
USP8	CHMP6
GPRASP1	F2RL1
RERE	LZTR1
CBX8	CENPA
HIST1H1A	SUZ12
UBASH3B	JAK2
ACTR6	PCBP1
EIF1B	COPZ1
TRIM29	SNAPC1
GOPC	JUN
PBK	MBP
CKS1B	PSMD9
WDR77	LSM11
GABRA3	PIK3R1
RPL3	SGK1
MYC	DCTN1
TRAF3IP1	SNX6
SCHIP1	SSB
CRYAB	CCND1
KRTAP9-3	CDK12
PIK3R1	SNX8
CYP4F2	NCK1
TOB1	HNRNPA2B1
STX6	VAMP3
HMGB2	POU3F1
SMARCC1	SMARCE1
FKBP5	PHLPP1
NDUFA4	TSC22D1
ARHGEF7	NAA10
VAV1	SPI1
EIF4G1	EPB41
KHSRP	BCAR3
SLC34A1	HSP90AB1
CDC45	TSC22D1
OR4C12	TSC22D1
RASD1	GNAI2
WIPF1	PACSIN2
EIF3I	TNFRSF14
STIP1	FKBP4
MEPE	NCK1
JAK1	AGO4
TUBA4A	ARHGAP1
MFN2	RGAG4
ECM1	EFEMP1
FYN	HCN2
RNFT1	UBE2D2
FN3KRP	USP43
AFF1	CCNT1
ACTR6	FSCN1
VDAC1	BCL2
ATP5L	TSC22D1
JADE2	ING5
CTNNB1	HIC1
DISC1	HERC2
FAF1	CTNNB1
DDB2	CDT1
E2F8	E2F7
EIF6	PA2G4
EIF1B	HMGB2
GNG2	GNB4
PTPRK	ERBB2
PTP4A3	GEMIN4
ACTA1	NEXN
GTF2B	KLF5
TUBB	GABARAP
HDAC1	SYK
VCP	FBXO2
SOX9	SCX
CDK4	PPP1CC
LDHB	RAC3
ATG4D	CASP8
TBK1	YWHAE
EIF3H	PRRC2B
NKX3-1	KAT2B
SNX9	ASAP1
LDB2	RILP
KPNA6	LYAR
CAND1	DDA1
ALX4	FOXA3
TNFRSF1A	EZR
MIS12	SPC25
ARF6	ACLY
PPARGC1A	MED16
FHL2	TRIM63
HSPH1	PAFAH1B3
USP53	CSTA
ATG101	FOXO3
HNRNPA0	MEPCE
CEP72	TUBG1
PSMD4	CKMT2
MAGEA6	COPB2
G3BP1	TRAF6
RPS14	LYAR
RPS3A	RPL35
TBRG4	MTMR4
LRCH4	SIN3A
EIF1	EPB41
SUV39H1	HIST3H3
POLR2H	GTF2B
FKBP5	CDK9
GABARAP	RABGAP1
YWHAB	PPFIBP1
LIG4	XRCC5
CARM1	PABPC1
IKBKE	NAP1L1
EIF1B	PCBP1
SUMO1	PLK3
PHIP	NR4A1
PTGES3	CASP3
CUL2	DCUN1D1
PSMD7	PSMD5
PCNA	CLSPN
RING1	CENPA
ROCK1	DPYSL2
USP20	EIF3C
UBE2N	PRKAB1
ANXA2	CDC42
RASSF3	RASSF2
GANAB	PAK2
CSPG4	ITGA3
XPOT	CAMKK2
CHMP3	FOS
ATG10	RBBP7
EFHD1	KRT33B
TCEAL5	DEDD
PTPRK	CBL
EPC2	DMAP1
CIAO1	DDX20
DUSP22	MAPK1
CTBS	FNBP1
RGS2	GNAI3
NFKBIA	ANXA1
RAB14	HGS
CACYBP	MCC
CDCA8	SUMO1
DSG1	USP53
DPF2	BCL7C
CBX4	UBE2I
RBL1	MRFAP1
MDM2	MAP4K4
VHL	UFC1
PPP4C	RPAP1
USMG5	C20orf24
CARD16	RIPK2
PRUNE1	GSN
OGFR	SRRM1
KCNA1	RTN4
TOPBP1	BMPR2
BSG	UBE2A
CABP1	FOS
BCL9L	CTNNB1
TRAF6	SDCCAG8
TSR1	PRKAB1
VHL	GDI2
NOD1	SUGT1
MXD1	BIRC3
CENPE	SKA1
NCOA2	SLC30A9
FBXW5	SASS6
ZBTB17	YWHAH
SRC	RARA
TAF1L	TBPL1
HMGB1	PPP2R3A
TRPM7	EEF2
MYC	WDR5
E2F6	SIN3B
HES4	ZC3H13
ETS1	ZMAT2
PRKAA2	MLF2
SLC4A1	PTPN11
EEF1A1	SARS2
VPS37D	TSG101
TPST2	CCR1
EEF1B2	MCC
MFAP2	STC2
TRAF6	IL17RD
UBE2N	CHUK
HDAC2	SYK
EGFR	CNTN2
IKBKE	PDXK
MAP3K8	EPPK1
MLH1	XRN1
LRRC59	IKBKE
RRS1	LYAR
MAGEA6	ARMC6
RPL35	MAGEB2
NONO	CRTC2
RNF185	UBQLN2
CENPB	CENPA
ATAD3B	PNKP
BPI	PRSS2
ACTG1	MEPCE
RPS9	TSC22D1
TLE3	SIX4
SERP1	SEC61B
UBE2N	VHL
RPS26	LYAR
MDM2	HSP90B1
NCK1	SLC23A1
POLR2J	RPAP3
RPS25	CDC5L
G3BP1	MRPL45
POLR1E	MYO1C
SART3	RPF2
TFCP2	GABARAP
ATXN7L2	USP22
RHPN2	TRAF6
SYP	VAMP2
GBF1	YWHAB
HSPA4	TSSK6
USP3	EIF3G
RPA2	RIF1
CTPS1	YWHAB
RPS14	MCC
F2RL1	TMED2
PSMD4	ALB
ATG7	FOXO1
SPSB1	CUL5
PRPF38B	CTNNB1
BLM	UBE2I
YWHAG	HNRNPCL1
TUBA1A	PLA2G7
SLX4IP	STK4
TRIM27	PIAS1
RPL3	USF2
PAK2	VIM
CXCL13	CCL21
ORC1	UBB
TSC1	FTH1
RPL18A	MAGEB2
DCAF6	SMURF2
SIN3A	NKX3-2
GNS	ABL1
KARS	GEMIN4
TAGLN2	MCC
MRPL41	C20orf24
IL7R	MTPN
SQSTM1	TKT
FBN1	THBS1
CPLX2	STX3
FANCI	RAD18
MAPRE1	KIF2C
MTA2	KDM1A
PSMA3	PSMD4
RPL38	RUVBL2
OR1G1	OBP2A
EP300	CTF1
MORF4L2	HDAC2
CAST	ABL1
TEX10	SLX4
NDUFAF1	MYL6
MDM2	ERICH3
BRMS1	RIF1
ASF1B	RBBP7
PINX1	EPPK1
CARM1	STAT5A
IFIH1	TKFC
MED21	CDK9
MEPCE	SNU13
ATAD2	E2F3
DUSP15	ABL1
FDPS	TSG101
PCMT1	EPB41
MRPL53	USP44
TFCP2	SYT1
DDX5	GSK3B
TRAF4	KIF11
PIK3R3	CD19
PHB2	EPPK1
NFKBIA	MCM3
PARN	NCBP1
AGO4	SLC25A13
GIPC1	ENG
PSMC3	EPAS1
TRAF6	GXYLT1
UBL4A	NPLOC4
CCNA1	ACLY
OTUB1	UBE2D3
SGK1	HNRNPL
NBN	PAXIP1
MYOD1	BHLHE40
INO80	ACTN4
MARK2	PHLPP1
HDAC1	HSD11B2
TRAF6	IARS
SKIV2L2	EXOSC5
NCL	ANKRD28
PRKAR1B	UBE2I
MAX	RPL35
TRAF6	RPL18A
MEPCE	SDE2
SIX3	MTA1
DEGS1	RADIL
HNRNPA0	CASP3
MMP9	MMP26
TFCP2	MEF2C
ORC1	ABL1
